sku,description,uom,created_at,expire_in_days
FXC10005PB,48560 BINGO! CHIPS RS.5 SALTED,2.520,2025-11-04T12:51:47.558Z,120
FXC10005SLA,48560 BINGO! CHIPS RS.5 SALTED,2.688,2025-11-04T12:51:47.327Z,180
FXC10010SA,48580 BINGO! CHIPS RS.10 SALTED,2.820,2025-11-04T12:51:47.812Z,180
FXC1100PB,56780 Eclairs! Chocolate Rs1,1.000,2025-11-09T13:26:58.981Z,130
FXC170005PA,48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE,2.520,2025-11-04T12:51:47.568Z,
FXC170005S,48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE,2.688,2025-11-04T12:51:47.832Z,180
FXC170010S,48991 BINGO! CHIPS RS.10 HNS KOREANSTYLE,2.820,2025-11-04T12:51:47.689Z,180
FXC20005PA,48180 BINGO! CHIPS RS.5 CRM&ON,2.520,2025-11-04T12:51:47.840Z,
FXC20005SC,48180 BINGO! CHIPS RS.5 CRM&ON,2.688,2025-11-04T12:51:47.830Z,180
FXC20010PA,48180 BINGO! CHIPS RS.10 CRM&ON,2.640,2025-11-04T12:51:47.639Z,
FXC20010SA,48180 BINGO! CHIPS RS.10 CRM&ON,2.820,2025-11-04T12:51:47.337Z,180
FXC20015,48210 BINGO! CHIPS RS.15 CRM&ON,2.310,2025-11-04T12:51:47.701Z,
FXC20015S,48210 BINGO! CHIPS RS.15 CRM&ON,2.464,2025-11-04T12:51:47.570Z,
FXC20020PA,48250 BINGO! CHIPS RS.20 CRM&ON,2.160,2025-11-04T12:51:47.458Z,
FXC20020SA,48250 BINGO! CHIPS RS.20 CRM&ON,2.304,2025-11-04T12:51:47.609Z,180
FXC30005PA,48320 BINGO! CHIPS RS.5 TOMATO,2.520,2025-11-04T12:51:47.419Z,
FXC30005SLA,48320 BINGO! CHIPS RS.5 TOMATO,2.688,2025-11-04T12:51:47.710Z,180
FXC30010SA,48340 BINGO! CHIPS RS.10 TOMATO,2.820,2025-11-04T12:51:47.681Z,
FXC30011PA,48340 BINGO! CHIPS RS.10 TOMATO,2.640,2025-11-04T12:51:47.498Z,
FXC30020SA,48380 BINGO! CHIPS RS.20 TOMATO,2.304,2025-11-04T12:51:47.719Z,180
FXC40005SL,48890 BINGO! CHIPS RS.5 MASALA,2.688,2025-11-04T12:51:47.809Z,
FXC40010SA,48900 BINGO! CHIPS RS.10 MASALA,2.820,2025-11-04T12:51:47.673Z,
FXC40020S,48898 BINGO! CHIPS RS.20 MASALA,2.304,2025-11-04T12:51:47.750Z,
FXC50005S,48901 BINGO CHIPS RS.5 TOMATO & CHILLI,2.688,2025-11-04T12:51:47.819Z,
FXC60005P,48905 BINGO CHIPS RS.5 CHILLI,2.520,2025-11-04T12:51:47.630Z,120
FXC70010PA,48109 BINGO! OS RS.10 CHILLI SPRINKLED,2.400,2025-11-04T12:51:47.488Z,
FXC70010S,48109 BINGO! OS RS.10 CHILLI SPRINKLED,2.568,2025-11-04T12:51:47.368Z,180
FXC70020PA,48110 BINGO! OS RS.20 CHILLI SPRINKLED,2.064,2025-11-04T12:51:47.790Z,
FXC70020SB,48110 BINGO! OS RS.20 CHILLI SPRINKLED,2.203,2025-11-04T12:51:47.550Z,180
FXC70051S,48109 BINGO! OS RS.50 CHILLI SPRINKLED,3.809,2025-11-04T12:51:47.308Z,240
FXC70051T,48109 BINGO! OS RS.50 CHILLI SPRINKLED,3.360,2025-11-04T12:51:47.662Z,
FXC71010PA,48109 BINGO! OS RS.10 SALT SPRINKLED,2.400,2025-11-04T12:51:47.538Z,
FXC71010S,48109 BINGO! OS RS.10 SALT SPRINKLED,2.568,2025-11-04T12:51:47.548Z,180
FXC71020PA,48112 BINGO! OS RS.20 SALT SPRINKLED,2.064,2025-11-04T12:51:47.492Z,
FXC71020SA,48112 BINGO! OS RS.20 SALT SPRINKLED,2.203,2025-11-04T12:51:47.620Z,180
FXC71051S,48109 BINGO! OS RS.50 SALT,3.809,2025-11-04T12:51:47.659Z,
FXC72010S,48120 BINGO! OS Rs.10 CRM&ONION,2.568,2025-11-04T12:51:47.388Z,180
FXC72020PA,48121 BINGO! OS RS.20 CRM&ONION,2.064,2025-11-04T12:51:47.157Z,
FXC72020SA,48121 BINGO! OS RS.20 CRM&ONION,2.203,2025-11-04T12:51:47.448Z,180
FXC72030IN,48121 BINGO! OS RS.30 CRM&ONION IN,2.100,2025-11-04T12:51:47.669Z,
FXC72030PA,48121 BINGO! OS RS.30 CRM&ONION,2.750,2025-11-04T12:51:47.428Z,
FXC72030SA,48121 BINGO! OS RS.30 CRM&ONION,2.935,2025-11-04T12:51:47.478Z,180
FXC73010PA,48125 BINGO! OS Rs.10 CHILLI CHRG TOM,2.400,2025-11-04T12:51:47.518Z,
FXC73030IN,48125 BINGO! OS Rs.30 CHILLI CHRG TOM IN,2.100,2025-11-04T12:51:47.528Z,
FXC74010S,48126 BINGO! OS RS.10 HNS KOREAN STYLE,2.568,2025-11-04T12:51:47.318Z,
FXC74020SA,48127 BINGO! OS RS.20 HNS KOREAN STYLE,2.150,2025-11-04T12:51:47.694Z,
FXC75010PA,48101 BINGO! OS HIMALAYANPINK SALT RS.10,2.400,2025-11-04T12:51:47.409Z,
FXC75050PA,48103 BINGO! OS HIMALAYANPINK SALT RS.50,3.570,2025-11-04T12:51:47.399Z,
