SKU,Description,UOM,Created At,Expire In Days
FXC10005PB,"48560 BINGO! CHIPS RS.5 SALTED",2.520,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),120
FXC10005SLA,"48560 BINGO! CHIPS RS.5 SALTED",2.688,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),180
FXC10010SA,"48580 BINGO! CHIPS RS.10 SALTED",2.820,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),180
FXC1100PB,"56780 Eclairs! Chocolate Rs1",1.000,Sun Nov 09 2025 13:26:58 GMT+0000 (Coordinated Universal Time),130
FXC170005PA,"48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE",2.520,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),
FXC170005S,"48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE",2.688,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),180
FXC170010S,"48991 BINGO! CHIPS RS.10 HNS KOREANSTYLE",2.820,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),180
FXC20005PA,"48180 BINGO! CHIPS RS.5 CRM&ON",2.520,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),
FXC20005SC,"48180 BINGO! CHIPS RS.5 CRM&ON",2.688,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),180
FXC20010PA,"48180 BINGO! CHIPS RS.10 CRM&ON",2.640,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),
FXC20010SA,"48180 BINGO! CHIPS RS.10 CRM&ON",2.820,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),180
FXC20015,"48210 BINGO! CHIPS RS.15 CRM&ON",2.310,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),
FXC20015S,"48210 BINGO! CHIPS RS.15 CRM&ON",2.464,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),
FXC20020PA,"48250 BINGO! CHIPS RS.20 CRM&ON",2.160,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),
FXC20020SA,"48250 BINGO! CHIPS RS.20 CRM&ON",2.304,Tue Nov 04 2025 12:51:47 GMT+0000 (Coordinated Universal Time),180
